kingdom	phylum	class	order	family	genus	species	A4_T2_R1	A4_T3_R1	A4_T4_R1	A4_T5_R1	B1_T2_R1	B1_T3_R1	B1_T4_R1	B1_T5_R1	B2_T2_R1	B2_T3_R1	B2_T4_R1	B2_T5_R1	B3_T2_R1	B3_T3_R1	B3_T4_R1	B3_T5_R1	B4_T2_R1	B4_T3_R1	B4_T4_R1	B4_T5_R1	B5_T1_R1	B5_T2_R1	B5_T3_R1	B5_T4_R1	B6_T2_R1	B6_T3_R1	B6_T4_R1	B6_T5_R1	B7_T2_R1	B7_T3_R1	B7_T4_R1	B7_T5_R1	B8_T2_R1	B8_T3_R1	B8_T4_R1	C1_T1_R1	C1_T2_R1	C1_T4_R1	C1_T5_R1	C2_T1_R1	C2_T2_R1	C2_T3_R1	C2_T4_R1	C2_T5_R1	C3_T1_R1	C3_T2_R1	C3_T3_R1	C3_T4_R1	C3_T5_R1	C6_T1_R1	C6_T2_R1	C6_T3_R1	C6_T4_R1	C6_T5_R1	C7_T2_R1	C7_T3_R1	C7_T4_R1	C7_T5_R1	D1_T2_R1	D1_T3_R1	D1_T4_R1	D1_T5_R1	D2_T1_R1	D2_T2_R1	D2_T3_R1	D2_T4_R1	D2_T5_R1	D4_T1_R1	D4_T2_R1	D4_T3_R1	D4_T4_R1	D4_T5_R1	D5_T2_R1	D5_T4_R1	D5_T5_R1	D6_T1_R1	D6_T2_R1	D6_T3_R1	D6_T4_R1	D6_T5_R1	E1_T1_R1	E1_T2_R1	E1_T3_R1	E1_T4_R1	E1_T5_R1	E2_T1_R1	E2_T2_R1	E2_T3_R1	E2_T4_R1	E2_T5_R1	E3_T2_R1	E3_T3_R1	E3_T4_R1	E3_T5_R1	E5_T1_R1	E5_T2_R1	E5_T4_R1	E5_T5_R1	E7_T2_R1	E7_T3_R1	E7_T4_R1	E7_T5_R1	F1_T2_R1	F1_T3_R1	F1_T4_R1	F1_T5_R1	F3_T2_R1	F3_T3_R1	F3_T4_R1	F3_T5_R1	F4_T2_R1	F4_T3_R1	F4_T4_R1	F5_T1_R1	F5_T2_R1	F5_T3_R1	F5_T4_R1	F5_T5_R1	F7_T1_R1	F7_T2_R1	F7_T3_R1	F7_T4_R1	F7_T5_R1	F8_T1_R1	F8_T2_R1	F8_T3_R1	F8_T4_R1	F8_T5_R1	G1_T1_R1	G1_T4_R1	G1_T5_R1	G2_T2_R1	G2_T3_R1	G2_T4_R1	G2_T5_R1	G3_T2_R1	G3_T3_R1	G3_T4_R1	G3_T5_R1	G4_T1_R1	G4_T2_R1	G4_T3_R1	G4_T4_R1	G4_T5_R1	G5_T5_R1	G6_T1_R1	G6_T3_R1	G6_T4_R1	G6_T5_R1	G7_T1_R1	G7_T2_R1	G7_T3_R1	G7_T4_R1	G7_T5_R1	G8_T1_R1	G8_T2_R1	G8_T4_R1	G8_T5_R1	H1_T2_R1	H1_T3_R1	H1_T4_R1	H1_T5_R1	H2_T2_R1	H2_T3_R1	H2_T5_R1	H4_T2_R1	H4_T3_R1	H4_T4_R1	H4_T5_R1	H5_T2_R1	H5_T3_R1	H5_T4_R1	H5_T5_R1	H7_T2_R1	H8_T1_R1	H8_T2_R1	H8_T3_R1	H8_T4_R1	H8_T5_R1	I2_T2_R1	I2_T3_R1	I2_T4_R1	I2_T5_R1	I5_T1_R1	I5_T2_R1	I5_T3_R1	I5_T4_R1	I5_T5_R1	I6_T2_R1	I6_T3_R1	I6_T4_R1	I6_T5_R1	Resv_T2_R1	Resv_T3_R1	Resv_T4_R1	Resv_T5_R1	Cont_T1_R1	Cont_T2_R1	Cont_T3_R1	Cont_T4_R1	Cont_T5_R1	A4_T2_R2	A4_T3_R2	A4_T4_R2	A4_T5_R2	B1_T2_R2	B1_T3_R2	B1_T4_R2	B1_T5_R2	B2_T2_R2	B2_T3_R2	B2_T4_R2	B2_T5_R2	B3_T2_R2	B3_T3_R2	B3_T4_R2	B3_T5_R2	B4_T2_R2	B4_T3_R2	B4_T4_R2	B4_T5_R2	B5_T3_R2	B5_T4_R2	B5_T5_R2	B6_T2_R2	B6_T3_R2	B6_T5_R2	B7_T2_R2	B7_T3_R2	B7_T4_R2	B7_T5_R2	B8_T2_R2	B8_T3_R2	B8_T4_R2	B8_T5_R2	C1_T2_R2	C1_T3_R2	C1_T4_R2	C1_T5_R2	C2_T1_R2	C2_T2_R2	C2_T3_R2	C2_T4_R2	C2_T5_R2	C3_T1_R2	C3_T2_R2	C3_T3_R2	C3_T4_R2	C3_T5_R2	C6_T2_R2	C6_T3_R2	C6_T4_R2	C6_T5_R2	C7_T2_R2	C7_T3_R2	C7_T5_R2	D1_T2_R2	D1_T3_R2	D1_T4_R2	D1_T5_R2	D2_T2_R2	D2_T3_R2	D2_T4_R2	D4_T2_R2	D4_T3_R2	D4_T4_R2	D4_T5_R2	D5_T2_R2	D5_T3_R2	D5_T4_R2	D5_T5_R2	D6_T1_R2	D6_T2_R2	D6_T3_R2	D6_T4_R2	D6_T5_R2	E1_T2_R2	E1_T3_R2	E1_T4_R2	E1_T5_R2	E2_T1_R2	E2_T2_R2	E2_T3_R2	E2_T4_R2	E2_T5_R2	E3_T2_R2	E3_T3_R2	E3_T4_R2	E3_T5_R2	E5_T2_R2	E5_T3_R2	E5_T4_R2	E5_T5_R2	E7_T2_R2	E7_T3_R2	E7_T4_R2	E7_T5_R2	F1_T2_R2	F1_T3_R2	F1_T5_R2	F3_T2_R2	F3_T3_R2	F3_T4_R2	F4_T2_R2	F4_T3_R2	F5_T1_R2	F5_T2_R2	F5_T3_R2	F5_T4_R2	F5_T5_R2	F7_T2_R2	F7_T3_R2	F7_T4_R2	F7_T5_R2	F8_T2_R2	F8_T3_R2	F8_T4_R2	F8_T5_R2	G1_T4_R2	G2_T2_R2	G2_T3_R2	G2_T4_R2	G2_T5_R2	G3_T2_R2	G3_T3_R2	G3_T4_R2	G3_T5_R2	G4_T1_R2	G4_T2_R2	G4_T3_R2	G4_T4_R2	G4_T5_R2	G6_T1_R2	G6_T3_R2	G6_T4_R2	G7_T2_R2	G7_T3_R2	G7_T4_R2	G7_T5_R2	G8_T2_R2	G8_T3_R2	G8_T4_R2	G8_T5_R2	H1_T2_R2	H1_T3_R2	H1_T4_R2	H1_T5_R2	H2_T2_R2	H2_T3_R2	H2_T4_R2	H2_T5_R2	H4_T2_R2	H4_T3_R2	H4_T4_R2	H4_T5_R2	H5_T2_R2	H5_T3_R2	H5_T4_R2	H5_T5_R2	H7_T2_R2	H8_T1_R2	H8_T2_R2	H8_T4_R2	H8_T5_R2	I2_T2_R2	I2_T3_R2	I2_T4_R2	I2_T5_R2	I5_T2_R2	I5_T3_R2	I5_T4_R2	I5_T5_R2	I6_T2_R2	I6_T3_R2	I6_T4_R2	Resv_T2_R2	Resv_T3_R2	Resv_T4_R2	Resv_T5_R2	Cont_T1_R2	Cont_T2_R2	Cont_T3_R2	Cont_T4_R2	Cont_T5_R2
Chromista	Bacillariophyta	Bacillariophyceae	Fragilariales	Fragilariaceae	Fragilaria	Unknown	0	0	0	0	3	0	981	3552	0	0	0	0	0	0	0	0	0	0	0	0	1437	2	36	14410	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	32	7	1	48	7805	505	0	0	0	0	178	0	11	0	995	0	0	0	0	0	0	0	0	67	0	0	0	0	17	0	0	0	161	0	0	0	90	0	0	0	0	44	0	0	0	0	34	0	0	0	0	2	30	12	255	760	0	0	0	0	944	37	540	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	423	0	0	0	0	419	0	0	0	0	35	0	0	0	0	0	0	0	11	0	0	95	0	0	0	0	0	134	0	0	0	11	0	0	0	0	13	0	0	0	51	0	289	1437	0	0	0	0	0	0	0	337	7	3179	206	0	105	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	9	0	0	102	0	142	0	0	0	0	0	0	0	2	0	514	1392	0	0	0	0	0	0	0	0	0	0	0	0	79	8039	1313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	13	4	46	3940	822	0	0	0	0	0	0	0	1626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	6	0	0	0	0	10	140	4	464	0	0	0	0	0	879	20	714	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	0	0	0	0	198	0	0	0	0	0	0	0	0	0	0	338	2	135	1623	0	0	0	0	0	0	0	0	188	43	5617	507	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	127	317	0	0	0	0
Chromista	Bacillariophyta	Bacillariophyceae	Fragilariales	Unknown	Unknown	Unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1875	0	0	0	0
Chromista	Bacillariophyta	Bacillariophyceae	Tabellariales	Tabellariaceae	Diatoma	Diatoma tenuis	0	0	0	0	3	1	16	209	0	0	0	17	0	0	0	0	0	0	0	0	60	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	124	563	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	319	130	0	0	0	0	0	120	213	69	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	351	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	8	20	318	587	0	44	0	0	0	0	0	0	0	9	0	0	52	0	0	0	65	0	17	0	0	0	0	0	0	3	60	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	161	472	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	529	356	0	0	0	0	0	156	199	133	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	376	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	12	86	367	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	21	6	1649	1637	0	0	0	0	0
Chromista	Bacillariophyta	Bacillariophyceae	Unknown	Unknown	Unknown	Unknown	9	0	0	0	41	25	1168	1558	21	17	20	15	0	0	0	0	0	0	0	0	1855	121	522	327	57	36	0	0	14	0	38	0	0	0	0	255	35	93	323	791	69	89	3068	2067	187	0	0	0	0	468	495	270	393	767	0	0	0	0	1	0	0	0	676	0	0	0	0	1282	208	86	192	108	51	20	0	1044	11	0	0	0	65	0	0	0	0	3693	0	0	0	0	21	8	917	685	932	4	0	0	165	484	444	759	130	0	0	0	0	0	0	0	0	0	0	391	17	0	98	0	1020	61	52	0	36	118	18	0	1	0	270	0	0	12	0	125	0	30	8	3	11	721	0	0	0	4	0	129	0	83	30	113	15	38	91	90	105	48	28	5	16	12	709	1535	0	0	0	0	0	0	0	23	121	492	337	236	109	40	1	0	0	37	5	12	41	1133	20	0	0	0	84	15	30	56	9	5	91	180	1354	477	0	0	0	13	0	0	0	60	141	641	1898	36	34	25	19	0	198	0	0	0	0	0	0	996	347	1951	19	61	11	13	0	0	0	0	0	0	0	14	101	105	122	2034	125	209	4555	1194	191	0	0	0	0	452	370	847	1223	0	0	0	7	0	0	0	0	0	0	224	124	115	275	19	5	4	0	678	79	0	0	0	0	0	0	0	3818	0	0	0	0	58	137	916	1081	5	0	0	0	187	630	377	1002	0	0	0	0	0	0	0	0	647	0	0	0	0	16	32	52	94	0	0	0	0	0	0	0	0	0	62	8	70	9	501	0	0	0	0	168	0	33	31	38	67	88	39	0	14	18	53	72	895	1387	0	0	0	0	0	0	0	0	23	261	479	582	121	49	7	2	0	43	9	17	38	86	0	0	0	97	58	26	34	0	148	274	3498	0	0	419	0
Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Cryptomonas sp.	0	0	0	0	57	25	199	232	0	0	0	0	0	0	0	0	0	0	0	0	121	106	138	58	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	76	220	18	102	129	325	0	0	0	0	276	35	14	18	57	0	0	0	0	0	0	0	0	526	0	0	0	0	582	0	0	0	0	0	0	0	13	0	0	0	0	132	0	0	0	0	122	0	0	0	0	83	48	179	329	185	0	0	0	173	372	254	477	3	0	0	0	0	0	0	0	0	0	0	174	0	0	0	0	340	0	0	0	0	392	0	0	0	0	196	0	0	0	0	0	0	0	12	0	0	544	0	0	0	0	0	1499	0	0	0	179	70	0	0	0	618	0	0	0	41	35	169	192	0	0	0	0	0	0	0	226	97	88	94	0	264	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	87	32	361	239	0	1128	0	0	0	0	0	0	0	111	103	259	141	0	0	0	0	0	48	0	0	0	0	0	0	39	106	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	382	18	26	235	394	0	0	0	0	39	45	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	136	0	0	0	0	194	81	91	346	0	0	0	0	142	225	324	374	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	10	0	0	580	0	0	0	0	2165	0	0	0	0	0	0	0	0	0	0	249	70	162	261	0	0	0	0	0	0	0	0	106	64	151	152	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	22	260	344	292	0	0	0	0
Chromista	Cryptophyta	Cryptophyceae	Cryptomonadales	Cryptomonadaceae	Cryptomonas	Unknown	90	0	0	0	761	886	15025	8601	1113	77	17	20	0	0	0	0	0	0	0	0	23542	4535	11814	9908	373	18139	0	5497	0	0	14466	0	0	0	0	34454	22647	0	9	32892	7494	684	6411	1646	28198	0	0	0	0	21939	5589	1856	6826	20190	0	0	0	0	1	0	0	0	27051	20	0	0	0	31693	598	43	2	0	316	0	0	18695	0	0	0	0	27962	0	0	0	0	28625	47	0	0	0	1904	846	15273	10088	28228	4	0	0	22220	16125	16039	21253	895	0	0	0	0	0	0	0	0	0	0	27258	0	0	0	0	17460	554	0	0	0	19163	159	0	0	0	18678	0	0	0	0	993	0	456	6424	0	252	19942	3	8	0	41	0	24104	0	0	0	22549	4399	15920	20507	7479	24556	5886	42	156	592	2253	15086	14716	0	0	0	0	0	0	0	16820	8833	8505	12476	7836	22034	2736	0	0	0	488	24	203	0	23988	0	0	0	0	5915	74	11944	226	559	542	15172	1370	1110	6080	0	0	0	67	0	0	0	1402	3196	18385	23413	2749	82	8	51	0	975	0	0	0	0	0	0	4371	13623	10369	207	13680	2770	0	0	0	0	0	0	0	0	18821	214	0	0	31181	11802	622	1645	2520	29910	0	0	0	0	4923	6107	2700	16695	0	0	0	0	0	0	0	0	0	0	543	71	0	0	144	0	0	0	20990	0	0	0	0	0	0	0	0	30636	0	0	0	0	5594	1964	11730	9221	0	0	0	0	15486	9655	15982	16547	0	0	0	0	0	0	0	0	28605	0	0	0	0	678	0	0	0	0	0	0	0	0	0	0	0	0	1719	3883	477	422	23324	22	0	44	11	27123	0	0	5527	9266	11275	7436	3954	13	17	328	3137	3764	5955	14582	0	0	0	0	0	0	0	0	7803	10447	6120	15540	3063	23397	233	0	0	1089	10	116	0	0	0	0	0	3943	860	7162	1872	524	7234	1311	3753	0	0	231	0
Chromista	Cryptophyta	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Plagioselmis	Plagioselmis nannoplanctica	0	0	0	0	209	121	3789	6162	41	0	0	0	0	0	0	0	0	0	0	0	1814	8	399	1332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	81	418	2259	0	0	0	0	0	0	0	184	5	344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	86	144	3706	2884	0	0	0	0	0	798	1093	933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	225	0	2	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	6	21	182	1704	2218	0	0	0	0	0	0	0	0	89	253	327	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	165	231	1277	1319	0	1717	0	0	0	0	0	0	0	388	348	2424	1932	72	0	0	0	0	329	0	0	0	0	0	0	591	747	8450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	189	187	1044	0	0	0	0	0	0	215	0	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	210	282	2443	4648	0	0	0	0	0	877	689	1810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	495	202	0	1	0	10	0	1	0	0	0	0	0	0	0	0	0	0	0	3	215	330	1084	2455	0	0	0	0	0	0	0	0	0	233	209	682	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	502	102	1502	2833	0	0	0	0	0
Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina sp.	0	0	0	0	8	6	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	66	309	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	8	398	42	0	0	0	0	0	0	5	32	164	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16	67	16	0	0	0	0	62	491	81	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	60	0	0	0	0	0	0	0	0	1	72	29	4	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	171	0	0	0	0	0	0	43	0	0	0	0	0	0	204	272	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	301	30	3	0	0	0	0	18	53	293	48	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	69	28	0	0	0	0	139	498	78	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	76	0	0	0	0	0	0	0	0	0	0	247	49	22	218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	29	0	0	0	0	0	0
Chromista	Haptophyta	Coccolithophyceae	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Unknown	0	0	0	0	0	0	261	0	0	0	0	2	0	0	0	0	0	0	0	0	0	52	63	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	142	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	80	0	0	0	0	0	70	448	90	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	24	0	0	0	0	0	0	0	0	89	24	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	2	0	0	0	0	0	0	0	0	0	37	40	163	0	0	0	0	0	0	38	0	0	0	0	0	0	217	296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	6	305	0	0	0	0	0	0	0	69	296	30	0	0	0	0	0	0	0	0	0	0	17	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	65	68	0	0	0	0	0	104	555	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	30	94	36	0	0	0	0	0	0	0	0	0	269	54	17	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
Chromista	Ochrophyta	Eustigmatophyceae	Eustigmatales	Eustigmataceae	Vischeria	Vischeria sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	17	3	0	57	0	644	0	0	1217	0	0	0	0	6	74	114	201	12	40	13	8	0	73	0	0	0	0	4	103	130	534	256	0	0	0	0	0	0	0	0	5	0	0	0	0	7	220	638	910	88	0	0	0	8	0	0	0	0	7	0	0	0	0	5	0	0	0	0	25	0	144	12	13	0	0	0	121	162	69	19	24	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	34	107	42	0	0	168	0	0	0	0	87	0	0	0	0	14	0	40	74	0	29	143	0	0	0	0	0	64	0	0	0	78	62	962	569	2605	51	137	367	350	3	0	95	65	0	0	0	0	0	0	0	91	93	157	15	173	31	222	27	0	0	0	0	0	0	17	0	0	0	0	513	95	2663	1803	4	0	61	21	0	200	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	4	0	0	124	242	0	0	0	0	0	0	0	0	66	3926	97	41	20	69	22	17	5	78	0	0	0	0	118	172	282	327	0	0	0	0	0	0	0	0	0	0	188	491	220	24	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	75	12	76	0	0	0	0	0	104	162	50	14	0	0	0	0	0	0	0	0	4	0	0	0	0	114	9	0	0	0	0	0	0	0	0	0	0	0	118	53	8	27	37	0	0	0	0	84	0	0	86	569	395	2665	77	22	107	700	15	15	54	85	0	0	0	0	0	0	0	0	40	98	99	32	120	47	44	0	0	0	0	0	0	0	0	0	0	411	606	1665	5	0	55	6	0	0	0	0	0
